size, Fall Factor,hits, misses, hitRatio, missRatio, executionTime,
3, 0.9,552, 9393, 0.0552, 0.9393, 13999,
4, 0.9,726, 9219, 0.0726, 0.9219, 13000,
5, 0.9,920, 9025, 0.092, 0.9025, 12001,
6, 0.9,1073, 8872, 0.1073, 0.8872, 10999,
7, 0.9,1278, 8667, 0.1278, 0.8667, 11001,
8, 0.9,1460, 8485, 0.146, 0.8485, 11000,
9, 0.9,1661, 8284, 0.1661, 0.8284, 11000,
10, 0.9,1862, 8083, 0.1862, 0.8083, 11037,
11, 0.9,2072, 7873, 0.2072, 0.7873, 10998,
12, 0.9,2255, 7690, 0.2255, 0.769, 10006,
13, 0.9,2451, 7494, 0.2451, 0.7494, 11987,
14, 0.9,2613, 7332, 0.2613, 0.7332, 9971,
15, 0.9,2757, 7188, 0.2757, 0.7188, 12003,
16, 0.9,2959, 6986, 0.2959, 0.6986, 12317,
17, 0.9,3152, 6793, 0.3152, 0.6793, 11167,
18, 0.9,3346, 6599, 0.3346, 0.6599, 10312,
19, 0.9,3530, 6415, 0.353, 0.6415, 12006,
20, 0.9,3730, 6215, 0.373, 0.6215, 9996,
21, 0.9,3903, 6042, 0.3903, 0.6042, 10002,
22, 0.9,4087, 5858, 0.4087, 0.5858, 10986,
23, 0.9,4259, 5686, 0.4259, 0.5686, 9032,
24, 0.9,4441, 5504, 0.4441, 0.5504, 11001,
25, 0.9,4622, 5323, 0.4622, 0.5323, 9999,
26, 0.9,4817, 5128, 0.4817, 0.5128, 10004,
27, 0.9,5007, 4938, 0.5007, 0.4938, 10999,
28, 0.9,5180, 4765, 0.518, 0.4765, 9000,
29, 0.9,5360, 4585, 0.536, 0.4585, 10999,
30, 0.9,5546, 4399, 0.5546, 0.4399, 10000,
31, 0.9,5748, 4197, 0.5748, 0.4197, 9993,
32, 0.9,5934, 4011, 0.5934, 0.4011, 10000,
33, 0.9,6109, 3836, 0.6109, 0.3836, 9000,
34, 0.9,6288, 3657, 0.6288, 0.3657, 13013,
35, 0.9,6450, 3495, 0.645, 0.3495, 9960,
36, 0.9,6602, 3343, 0.6602, 0.3343, 10998,
37, 0.9,6768, 3177, 0.6768, 0.3177, 9021,
38, 0.9,6948, 2997, 0.6948, 0.2997, 10981,
39, 0.9,7128, 2817, 0.7128, 0.2817, 8035,
40, 0.9,7295, 2650, 0.7295, 0.265, 10963,
41, 0.9,7470, 2475, 0.747, 0.2475, 8035,
42, 0.9,7634, 2311, 0.7634, 0.2311, 9003,
43, 0.9,7823, 2122, 0.7823, 0.2122, 9962,
44, 0.9,8003, 1942, 0.8003, 0.1942, 10037,
45, 0.9,8179, 1766, 0.8179, 0.1766, 7962,
46, 0.9,8345, 1600, 0.8345, 0.16, 9036,
47, 0.9,8531, 1414, 0.8531, 0.1414, 7999,
48, 0.9,8720, 1225, 0.872, 0.1225, 7967,
49, 0.9,8917, 1028, 0.8917, 0.1028, 7034,
